Symbol,Underlying Assets and Securities,Security Name,Date of Listing,Market NIFTY,ISIN Number,Face Value,,,
ICICICOMMO,ICICI Prudential NIFTY Commodities ETF,ICICIPRAMC - ICICICOMMO,21-Dec-2022,1,INF109KC19O8,10,,,
DSPBANKETF,DSP NIFTY Bank ETF,DSPAMC - DSPBANKETF,6-Jan-2023,1,INF740KA1RX3,10,,,
KOTAKLIQ,Kotak NIFTY 1D Rate Liquid ETF,KOTAKMAMC - KOTAKLIQ,1-Feb-2023,1,INF174KA1LV5,1000,,,
HDFCSML250,HDFC NIFTY Smallcap 250 ETF,HDFCAMC - HDFCSML250,21-Feb-2023,1,INF179KC1FB2,91.31,,,
HDFCMID150,HDFC NIFTY Midcap 150 ETF,HDFCAMC - HDFCMID150,21-Feb-2023,1,INF179KC1FA4,115.95,,,
HDFCBSE500,HDFC S&P BSE 500 ETF,HDFCAMC - HDFCBSE500,21-Feb-2023,1,INF179KC1EZ4,23.86,,,
MAGOLDETF,Mirae Asset Gold ETF,MIRAEAMC - MAGOLDETF,24-Feb-2023,1,INF769K01JP9,56.55,,,
ABSLLIQUID,NIFTY Birla Sun NIFTY CRISIL Overnight Fund AI Index ETF,BIRLASLAMC - ABSLLIQUID,16-Mar-2023,1,INF209KB18T9,1000,,,
PSUBANKICI,ICICI Prudential NIFTY PSU Bank ETF,ICICIPRAMC - PSUBANKICI,21-Mar-2023,1,INF109KC10S8,10,,,
AXSENSEX,AXIS S&P BSE SENSEX ETF,AXISAMC - AXSENSEX,29-Mar-2023,1,INF846K010Q0,10,,,
MANV30F,Mirae Asset NIFTY 100 Low Volatility 30 ETF,MIRAEAMC - MANV30F,31-Mar-2023,1,INF769K01JU9,100,,,
MAGS813ETF,,Mirae Asset NIFTY 8-13 Yr G-Sec ETF,MIRAEAMC - MAGS813ETF,6-Apr-2023,1,INF769K01KF8,10,,
SILVERETF,UTI Silver Exchange Traded Fund (UTI Silver ETF),UTIAMC - SILVERETF,20-Apr-2023,1,INF789F1AYK6,75.81,,,
DSPGOLDETF,DSP GOLD ETF,DSPAMC - DSPGOLDETF,05-NIFTY-2023,1,INF740KA1SW3,59.9,,,
