363,"CHALET","Chalet Hotels Limited","CHALET.NS"
364,"CHAMBLFERT","Chambal Fertilizers & Chemicals Limited","CHAMBLFERT.NS"
365,"CHEMBOND","Chembond Chemicals Ltd","CHEMBOND.NS"
366,"CHEMCON","Chemcon Speciality Chemicals Limited","CHEMCON.NS"
367,"CHEMFAB","Chemfab Alkalis Limited","CHEMFAB.NS"
368,"CHEMPLASTS","Chemplast Sanmar Limited","CHEMPLASTS.NS"
369,"CHENNPETRO","Chennai Petroleum Corporation Limited","CHENNPETRO.NS"
370,"CHEVIOT","Cheviot Company Limited","CHEVIOT.NS"
371,"CHOICEIN","Choice International Limited","CHOICEIN.NS"
372,"CHOLAFIN","Cholamandalam Investment and Finance Company Limited","CHOLAFIN.NS"
373,"CHOLAHLDNG","Cholamandalam Financial Holdings Limited","CHOLAHLDNG.NS"
374,"CIEINDIA","CIE Automotive India Limited","CIEINDIA.NS"
375,"CIFL","Capital India Finance Limited","CIFL.NS"
376,"CIGNITITEC","Cigniti Technologies Limited","CIGNITITEC.NS"
377,"CINELINE","Cineline India Limited","CINELINE.NS"
378,"CINEVISTA","Cinevista Limited","CINEVISTA.NS"
379,"CIPLA","Cipla Limited","CIPLA.NS"
380,"CLEAN","Clean Science and Technology Limited","CLEAN.NS"
381,"CLEDUCATE","CL Educate Limited","CLEDUCATE.NS"
382,"CLSEL","Chaman Lal Setia Exports Limited","CLSEL.NS"
383,"CMSINFO","CMS Info Systems Limited","CMSINFO.NS"
384,"COALINDIA","Coal India Limited","COALINDIA.NS"
385,"COASTCORP","Coastal Corporation Limited","COASTCORP.NS"
386,"COCHINSHIP","Cochin Shipyard Limited","COCHINSHIP.NS"
387,"COFFEEDAY","Coffee Day Enterprises Limited","COFFEEDAY.NS"
388,"COFORGE","Coforge Limited","COFORGE.NS"
389,"COLPAL","Colgate Palmolive (India) Limited","COLPAL.NS"
390,"COMPUSOFT","Compucom Software Limited","COMPUSOFT.NS"
391,"COMSYN","Commercial Syn Bags Limited","COMSYN.NS"
392,"CONCOR","Container Corporation of India Limited","CONCOR.NS"
393,"CONCORDBIO","Concord Biotech Limited","CONCORDBIO.NS"
394,"CONFIPET","Confidence Petroleum India Limited","CONFIPET.NS"
395,"CONSOFINVT","Consolidated Finvest & Holdings Limited","CONSOFINVT.NS"
396,"CONTROLPR","Control Print Limited","CONTROLPR.NS"
397,"CORALFINAC","Coral India Finance & Housing Limited","CORALFINAC.NS"
398,"CORDSCABLE","Cords Cable Industries Limited","CORDSCABLE.NS"
399,"COROMANDEL","Coromandel International Limited","COROMANDEL.NS"
400,"COSMOFIRST","COSMO FIRST LIMITED","COSMOFIRST.NS"
401,"COUNCODOS","Country Condo's Limited","COUNCODOS.NS"
402,"CPCAP","CP Capital Limited","CPCAP.NS"
403,"CRAFTSMAN","Craftsman Automation Limited","CRAFTSMAN.NS"
404,"CREATIVE","Creative Newtech Limited","CREATIVE.NS"
405,"CREATIVEYE","Creative Eye Limited","CREATIVEYE.NS"
406,"CREDITACC","CREDITACCESS GRAMEEN LIMITED","CREDITACC.NS"
